Valuta,alfa,live,hot,Summa
USDT,0.79128168,0.00299245,0.80744604,1.60172017
BTC,9.999999999999997e-09,0.01224354,0.01466821,0.02691176
USD,0.00051441,0.00850686,0.0,0.00902127
PZM,0.0,15168.76702612,21295.0032381,36463.77026422
ETH,0.01181298,0.0,0.00080888,0.01262186
ALC,100.0,0.0,0.0,100.0
USDT + USD,0.79179609,0.011499309999999999,0.80744604,1.61074144
